"","Value","Std. Error","t value"
"(Intercept)",-1.66996264825917,0.0165464937034353,-100.92546966083
"covid",-0.661003608679583,0.00967981921715249,-68.2867720823024
"arr_flights_n",1.5322997080617,0.10172384920777,15.0633280198825
"ATL",-1.35532755326037,0.11323812856686,-11.9688268466936
"ORD",-0.808149285428723,0.10442031463605,-7.7393875726718
"CLT",-0.804632146862386,0.0983731753458721,-8.17938573227269
"DEN",-0.723835094563524,0.100772456988711,-7.18286639219895
"DFW",-0.570336449943142,0.104774102214488,-5.44348687212399
"ADK",1.62361885793072,0.112415803505959,14.4429769418021
"LAX",-0.649450763149453,0.0956677681708516,-6.78860577148209
"ITO",-1.2121703384453,0.0883772783471448,-13.7158595638565
"MSP",-0.698715450650228,0.0924120409356508,-7.56087024565083
"DTW",-0.670107107503257,0.0926067942876577,-7.23604690841315
"PHX",-0.610243282216855,0.0938184337053151,-6.50451364529956
"sep",-0.433360095922549,0.0220132777951008,-19.6863047818801
"mar",-0.295153636134595,0.0169350884173603,-17.4285264334393
"CDB",1.40881199892721,0.133024074830892,10.590654366273
"oct",-0.339713627848686,0.0223739203653711,-15.183464600798
"jul",0.16748337667411,0.0166353791994873,10.0679025506838
"SEA",-0.481579105284571,0.0924114460518454,-5.2112495351971
"LAS",-0.465069396092367,0.0928095889098807,-5.01100588371267
"feb",0.41059213752611,0.0248971082968248,16.4915592859623
"SLC",-0.529100857001055,0.09094744026169,-5.8176552905572
"IAH",-0.4174250622407,0.0928786794681505,-4.49430444781293
"extra_tue",0.224017071859458,0.0160063277977402,13.9955319352566
"EKO",-0.902908610841357,0.0956943724888857,-9.43533655488701
"SFO",-0.313863413554154,0.0921142471228706,-3.40732756720569
"LIH",-0.815369446593042,0.0883718568842625,-9.22657365524075
"BWI",-0.455367245189579,0.0900391103156457,-5.05743830201366
"DCA",-0.419174746938564,0.0904210735533585,-4.63580811934514
"HIB",-0.814445605376651,0.0911115964797945,-8.93898951224357
"BTM",-0.778516743544002,0.0897198180543132,-8.67719931256119
"LGA",-0.292636401268123,0.0913420922583429,-3.20374094826358
"HNL",-0.574633169161316,0.0886540437180459,-6.48174798420782
"KOA",-0.69757641027322,0.0883734642736036,-7.89350531867268
"apr",-0.287911882272275,0.0177517429275582,-16.218795159844
"may",-0.225271603261801,0.0168299129044143,-13.3851912687388
"extra_sat",0.243407253733576,0.0164253546260659,14.8189953443869
"MDW",-0.418000345912571,0.0894818919725388,-4.67134005213984
"BJI",-0.640203744074068,0.0883942922418934,-7.24259143703683
"extra_thu",0.126782901382458,0.0120996341681353,10.4782425336746
"OGG",-0.534528610585431,0.0884074765045145,-6.04619237783736
"OTZ",-0.621628594521963,0.0925653733170518,-6.71556298263695
"BQN",0.767814854300122,0.109853609931359,6.98943671291169
"LWS",-0.613575290545206,0.0897191862226281,-6.83884146053986
"SJC",-0.399437545414506,0.0887021160463481,-4.5031343469393
"GST",-0.799218551775443,0.162890279328781,-4.90648401530629
"PIH",-0.586923819126348,0.0883925962313979,-6.63996583593804
"ELM",-0.562290063775991,0.0940904247551239,-5.97606042527054
"ABR",-0.563206700815593,0.092562375754462,-6.08461803432528
"jan",-0.212541694250352,0.022267509295177,-9.54492446518868
