"","Value","Std. Error","t value"
"(Intercept)",-1.65710430473402,0.0165954134310916,-99.85314988474
"covid",-0.667595352984768,0.00973849732678592,-68.5521934835403
"arr_flights_n",1.2814442436055,0.0945881974171651,13.5476124780549
"top30",-0.363602016670316,0.0292599850538298,-12.4265961175782
"ATL",-0.821633658039479,0.100093072447607,-8.20869654560319
"ADK",1.61408543341479,0.11335161347081,14.2396335084409
"ITO",-1.21828698101214,0.0891179061299304,-13.670507240553
"sep",-0.432904348727725,0.0221952917502025,-19.504332432295
"mar",-0.291110568879872,0.0170725209524307,-17.0514108426632
"CDB",1.40203406744455,0.134137752891535,10.4521958749245
"oct",-0.33777278736889,0.0225594469154763,-14.9725650914416
"jul",0.168792518014661,0.0167732084922691,10.0632218393076
"feb",0.410504618082649,0.0251039226647704,16.3522101133116
"extra_tue",0.223808152964296,0.0161402976474474,13.8664204250094
"EKO",-0.912589879326369,0.0964886306141428,-9.45800425933921
"LIH",-0.819947537574538,0.0891197131792086,-9.20051813817809
"HIB",-0.823968846844834,0.0918663853923768,-8.9692093938988
"BTM",-0.787923066966367,0.0904637217866239,-8.70982368849289
"KOA",-0.70093235877818,0.0891233387189529,-7.8647452940306
"apr",-0.290176475284202,0.0178988298023177,-16.2120361213015
"may",-0.224131617069379,0.016968651865163,-13.208569475665
"extra_sat",0.243063410072728,0.0165628297402859,14.6752344788961
"BJI",-0.650721732599219,0.0891268328873654,-7.3010754619944
"extra_thu",0.126041308652174,0.0122009852943243,10.3304205038921
"OGG",-0.533339934041198,0.089163517774365,-5.98159367591188
"OTZ",-0.63167608190032,0.093332112479158,-6.76804655033797
"BQN",0.757328591229892,0.110766317600503,6.83717404022877
"LWS",-0.622857593703383,0.0904633566515455,-6.88519215689243
"PIH",-0.596334862329372,0.089125809062567,-6.69093350850527
"ELM",-0.569411274570016,0.0948716714286491,-6.00191043327679
"ABR",-0.573242984946103,0.0933296978170828,-6.14212837236015
"jan",-0.210884792328131,0.0224519326457178,-9.39272336398854
