"","Value","Std. Error","t value"
"(Intercept)",-1.64653676944326,0.0167148491261359,-98.5074263619096
"covid",-0.684642749523426,0.00973560928216828,-70.3235647282411
"arr_flights_n",0.350322944384646,0.0563994748198098,6.21145756239557
"jan",-0.213432888431641,0.0226376382577066,-9.42823124929923
"feb",0.405345439658407,0.0253110269419663,16.0145789654364
"mar",-0.285045849912027,0.017207498046414,-16.5652118130811
"apr",-0.289447040005481,0.0180474973806288,-16.0380707585617
"may",-0.223112926735953,0.0171093046379524,-13.0404438670779
"jul",0.172515788036797,0.0169092897528737,10.2024266280894
"sep",-0.436260910138669,0.0223780345380714,-19.4950503537951
"oct",-0.337699006612413,0.0227465092292216,-14.8461903850541
"extra_tue",0.225261984286468,0.0162735514166008,13.8422141866757
"extra_thu",0.126004772479632,0.0123022035539309,10.2424555021584
"extra_sat",0.243454100298377,0.0167002454460224,14.5778755818443
"ADK",1.6155312370944,0.114293016180708,14.1349952173813
"ATL",-0.518512203296399,0.0976809753264787,-5.30822098738651
"ITO",-1.21046973592451,0.0898561129280104,-13.4712007506301
"CDB",1.4078354715225,0.135251244355366,10.409038957331
"EKO",-0.916020717201723,0.097289914478328,-9.41537179998008
"LIH",-0.801852238517758,0.0898479526007447,-8.92454658461646
"HIB",-0.825673891582598,0.0926291475819394,-8.91375893157399
"BTM",-0.789999516793335,0.0912149905593512,-8.66085181776457
"KOA",-0.680383314495923,0.0898461680992942,-7.57275829219552
"BJI",-0.654688097120116,0.0898669767109079,-7.28507980441108
"OGG",-0.492829296388881,0.0898453184788098,-5.48530858071493
"OTZ",-0.634090815651231,0.0941069726115531,-6.73797911094833
"BQN",0.752451564943543,0.111685952371781,6.73720865484297
"LWS",-0.623577791919977,0.0912146579637699,-6.83637702361017
"PIH",-0.598050787297665,0.0898660290200852,-6.65491503095123
"ELM",-0.56700582406997,0.0956596022091144,-5.92732784765799
"ABR",-0.575877521911151,0.0941046676280261,-6.11954259471445
