"","Value","Std. Error","t value"
"(Intercept)",-1.69194986733136,0.0937866616917136,-18.0404104039119
"as.factor(airport)ABI",0.0277421947570127,0.114571100913994,0.242139549464906
"as.factor(airport)ABQ",-0.109551967674633,0.114687563459104,-0.955220987964382
"as.factor(airport)ABR",-0.613630557787364,0.117319542174891,-5.23042066489326
"as.factor(airport)ABY",-0.214002342657105,0.115440333838398,-1.85379178612462
"as.factor(airport)ACK",-0.0815310063595467,0.135353677644014,-0.602355309280747
"as.factor(airport)ACT",-0.178983936100093,0.115439043565964,-1.55046274268393
"as.factor(airport)ACV",-0.102541073033262,0.115439397402148,-0.88826757017838
"as.factor(airport)ACY",0.000862023451007184,0.115435945525882,0.00746754788623368
"as.factor(airport)ADK",1.5745379930677,0.131136393007145,12.0068728212
"as.factor(airport)ADQ",-0.374488579983762,0.117320992195206,-3.19199976898136
"as.factor(airport)AEX",-0.0247345921884727,0.114569587329699,-0.215891431268697
"as.factor(airport)AGS",-0.134595500267822,0.114568583226386,-1.17480286896681
"as.factor(airport)AKN",-0.0408056088015417,0.146483923726322,-0.278567147598937
"as.factor(airport)ALB",0.0111406355723102,0.114585223027627,0.0972257615593601
"as.factor(airport)ALO",0.0214174997475118,0.119422232927886,0.179342650211916
"as.factor(airport)ALS",-8.13082310827385e-06,0.177156972578182,-4.5896150684589e-05
"as.factor(airport)ALW",-0.221981419612318,0.19615076341062,-1.131687767881
"as.factor(airport)AMA",0.0958637688251147,0.114568622140372,0.836736682646497
"as.factor(airport)ANC",-0.195957744917798,0.114653806692759,-1.70912550198103
"as.factor(airport)APN",-0.23106698317186,0.115440938610928,-2.00160346885802
"as.factor(airport)ART",0.237173799688215,0.22639865208207,1.04759369151297
"as.factor(airport)ASE",0.222953356687173,0.114569728684365,1.94600580142247
"as.factor(airport)ATL",-2.90243386290896,0.16131672370237,-17.9921448706333
"as.factor(airport)ATW",-0.14389852272225,0.114568570663357,-1.25600347363217
"as.factor(airport)ATY",-0.0401120987006025,0.13314981842519,-0.301255376650321
"as.factor(airport)AUS",-0.356094084911574,0.115819577372079,-3.0745586626309
"as.factor(airport)AVL",0.124977929641555,0.114574907197366,1.09079669099159
"as.factor(airport)AVP",0.0301982258029725,0.114570001089225,0.263578820946808
"as.factor(airport)AZA",0.484282322483612,0.114569630416592,4.22696940474269
"as.factor(airport)AZO",-0.154121794590685,0.114571114873897,-1.34520637911502
"as.factor(airport)BDL",-0.0439703166525267,0.114741401248548,-0.383212303266892
"as.factor(airport)BET",-0.555919142769829,0.116355169933391,-4.7777777565713
"as.factor(airport)BFF",-0.0778216387453017,0.115441733813949,-0.674120495025849
"as.factor(airport)BFL",-0.00799247536019982,0.114570630575401,-0.0697602458855269
"as.factor(airport)BFM",0.803846765048568,0.249790671514124,3.2180816047933
"as.factor(airport)BGM",-0.107243328539612,0.116355687580863,-0.921685314824699
"as.factor(airport)BGR",-0.00299949262312375,0.114569130643129,-0.0261806352748444
"as.factor(airport)BHM",0.0524969466848238,0.114632332792782,0.457959333164065
"as.factor(airport)BIL",-0.163360648963557,0.11456856991954,-1.4258766525434
"as.factor(airport)BIS",-0.05874289704362,0.114568673518475,-0.512730882182619
"as.factor(airport)BJI",-0.677920511865542,0.11457510858608,-5.91682190164561
"as.factor(airport)BKG",0.257179719925368,0.140378051280445,1.83205079127063
"as.factor(airport)BLI",-0.299534161380746,0.116351168807523,-2.57439752819551
"as.factor(airport)BLV",0.176009255307496,0.115439957979059,1.52468225377753
"as.factor(airport)BMI",0.0630297663425804,0.114569963109255,0.550142154470928
"as.factor(airport)BNA",-0.605534031838835,0.116790234389685,-5.18480021042166
"as.factor(airport)BOI",-0.290722863419775,0.114678242023075,-2.53511789412745
"as.factor(airport)BOS",-0.756995716258495,0.120156001075067,-6.30010743937428
