"","Value","Std. Error","t value"
"(Intercept)",-1.74058706239215,0.0175865744852506,-98.9724897166263
"covid",-0.658143139521586,0.00970850784568943,-67.7903494524961
"arr_flights_n_sqrt",0.960162894476299,0.0583555553109612,16.4536673391222
"top30",-0.416871784834083,0.0288043134081431,-14.4725471816395
"jan",-0.212496652006825,0.0223571659260539,-9.50463277455003
"feb",0.41284150863339,0.0249985254332679,16.5146344225561
"mar",-0.297010483642419,0.0170033869406368,-17.4677247938519
"apr",-0.289808061090976,0.0178235465007419,-16.2598426232912
"may",-0.225191458781609,0.0168972642785318,-13.327095739854
"jul",0.169191847353763,0.0167035580977261,10.1290902431617
"sep",-0.434890837020819,0.0221017164505871,-19.6767901711664
"oct",-0.338397831065298,0.0224642361227227,-15.0638476739926
"extra_tue",0.225018414159941,0.0160719832862046,14.0006625288794
"extra_thu",0.126380437718817,0.012149719796554,10.4019220060254
"extra_sat",0.245262935208046,0.0164930211060696,14.8707100797795
"ADK",1.67527943512397,0.112963786796506,14.8302343842442
"ATL",-0.575134214242891,0.0923121011081714,-6.23032308157463
"ITO",-1.22595787891134,0.0887421867616175,-13.8148261120109
"CDB",1.45584328895298,0.133620377311825,10.8953687921082
"EKO",-0.8667230248526,0.0961389333116558,-9.01531767616897
"LIH",-0.855127774216044,0.0887835357272092,-9.63160305806537
"HIB",-0.778151780609858,0.0915413352363846,-8.50055091069471
"BTM",-0.745229055477636,0.0901402898653171,-8.26743575587696
"KOA",-0.743345834246978,0.0888127978324357,-8.36980539279326
"BJI",-0.607481072788099,0.0888073008831387,-6.84044067038454
"OGG",-0.601578363115128,0.0889702568022551,-6.76156712070859
"OTZ",-0.585564743181307,0.093004120486132,-6.29611613034523
"BQN",0.77964974934782,0.110311618691983,7.06770291826459
"LWS",-0.582917725488204,0.0901323856714939,-6.46735045506027
"PIH",-0.560707118180108,0.0887904967339168,-6.31494516649015
"ELM",-0.529931481667481,0.0945267580560756,-5.60615314187664
"ABR",-0.530760546820778,0.0929899808797466,-5.70771756053107
