t,carrier,carrier_name,month,year,covid,control,extra_mon,extra_tue,extra_wed,extra_thu,extra_fri,extra_sat,extra_sun,top30,fulldata,mon_ct,tue_ct,wed_ct,thu_ct,fri_ct,sat_ct,sun_ct,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,day_ct
1,AA,American Airlines Inc.,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,18860.0,3267.0,953.23,376.26,1260.86,28.89,647.79,114.0,51.0,172897.0,57828.0,23407.0,48477.0,1165.0,42020.0,1710
1,AA,American Airlines Inc.,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,43418.0,8246.0,1846.02,608.23,3995.74,57.2,1738.84,340.0,124.0,433507.0,119663.0,39976.0,165304.0,2094.0,106470.0,900
1,AS,Alaska Airlines Inc.,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,6453.0,1033.0,430.87,7.95,115.24000000000001,22.7,456.25,122.0,21.0,44760.0,20972.0,585.0,3038.0,525.0,19640.0,930
1,AS,Alaska Airlines Inc.,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,8084.0,1348.0,405.64,5.46,390.75,32.83,513.31,93.0,10.0,59534.0,22670.0,301.0,11414.0,1071.0,24078.0,450
1,B6,JetBlue Airways,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,1886.0,264.0,154.73,10.0,47.39,8.22,43.64,0.0,3.0,13624.0,8876.0,873.0,1732.0,258.0,1885.0,330
1,B6,JetBlue Airways,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,3386.0,550.0,251.27,6.76,145.31,18.0,128.66,0.0,6.0,27849.0,15760.0,406.0,5381.0,463.0,5839.0,330
1,CO,Continental Air Lines Inc.,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,5505.0,1030.0,219.05,43.879999999999995,524.38,1.2,241.48,5.0,4.0,49270.0,11824.0,2516.0,20083.0,28.0,14819.0,1590
1,CO,Continental Air Lines Inc.,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,19979.0,3580.0,517.19,133.18,2141.25,16.52,771.85,29.0,101.0,177468.0,32056.0,8346.0,89105.0,808.0,47153.0,900
1,DH,Atlantic Coast Airlines,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,12964.0,2264.0,1028.42,148.26,610.14,1.0,476.18,213.0,11.0,110592.0,49212.0,12380.0,24148.0,47.0,24805.0,2160
1,DH,Atlantic Coast Airlines,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,11153.0,1720.0,427.65,63.29,844.31,2.76,382.0,225.0,22.0,91703.0,23789.0,4841.0,40937.0,53.0,22083.0,330
1,DL,Delta Air Lines Inc.,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,16245.0,2755.0,803.67,42.74,1322.09,0.0,586.4300000000001,47.0,32.0,110757.0,39008.0,2033.0,40969.0,0.0,28747.0,2190
1,DL,Delta Air Lines Inc.,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,37334.0,6592.0,1405.54,150.2,3891.71,11.36,1133.21,163.0,50.0,272981.0,71622.0,7228.0,133264.0,567.0,60300.0,900
1,EV,Atlantic Southeast Airlines,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,10468.0,3098.0,1217.37,279.77,969.58,1.56,629.69,173.0,12.0,144095.0,59039.0,21008.0,35611.0,37.0,28400.0,2610
1,EV,Atlantic Southeast Airlines,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,11884.0,2621.0,619.4,269.81,1128.51,10.81,592.48,225.0,21.0,135932.0,40870.0,19665.0,45046.0,244.0,30107.0,300
1,FL,AirTran Airways Corporation,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,2935.0,645.0,150.86,3.37,189.37,0.0,301.39,11.0,4.0,32296.0,7076.0,170.0,7503.0,0.0,17547.0,720
1,FL,AirTran Airways Corporation,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,9207.0,1979.0,264.2,63.02,899.59,0.0,752.21,44.0,16.0,101244.0,14010.0,3586.0,38999.0,0.0,44649.0,450
