t,month,year,covid,control,extra_mon,extra_tue,extra_wed,extra_thu,extra_fri,extra_sat,extra_sun,top30,fulldata,mon_ct,tue_ct,wed_ct,thu_ct,fri_ct,sat_ct,sun_ct,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,day_ct
1,6,2003,0,0,1,0,0,0,0,0,1,0,0,5,4,4,4,4,4,5,203148.0,34092.0,11024.81,1808.35,10744.09,161.75,10352.98,1673.0,318.0,1575169.0,523310.0,125660.0,387442.0,7584.0,531173.0,27090
1,6,2003,0,0,1,0,0,0,0,0,1,1,0,5,4,4,4,4,4,5,333348.0,55349.0,12273.32,2380.35,25876.01,317.28,14502.16,2488.0,707.0,2651919.0,683450.0,157535.0,1007474.0,14398.0,789062.0,10260
2,7,2003,0,0,0,1,1,1,0,0,0,0,0,4,5,5,5,4,4,4,211130.0,40636.0,12722.24,2120.3,13293.83,101.45,12398.34,2944.0,353.0,2106666.0,625034.0,166357.0,576159.0,2866.0,736250.0,28024
2,7,2003,0,0,0,1,1,1,0,0,0,1,0,4,5,5,5,4,4,4,347438.0,63943.0,14442.74,2959.11,28233.83,220.37,18087.0,4891.0,852.0,3626491.0,859521.0,237501.0,1366362.0,5794.0,1157313.0,10695
3,8,2003,0,0,0,0,0,0,1,1,1,0,0,4,4,4,4,5,5,5,210180.0,39791.0,12253.1,2448.07,13183.27,126.36,11780.2,3128.0,374.0,2017146.0,617085.0,177263.0,536095.0,4526.0,682177.0,27900
3,8,2003,0,0,0,0,0,0,1,1,1,1,0,4,4,4,4,5,5,5,346804.0,66535.0,14642.02,3355.56,30405.41,243.34,17888.67,5981.0,1143.0,3821624.0,889334.0,264152.0,1508030.0,8688.0,1151420.0,10757
4,9,2003,0,0,1,1,0,0,0,0,0,0,0,5,5,4,4,4,4,4,199317.0,24790.0,7868.78,947.18,8806.19,40.14,7127.8,2499.0,264.0,1105249.0,359134.0,66236.0,320457.0,1054.0,358368.0,27030
4,9,2003,0,0,1,1,0,0,0,0,0,1,0,5,5,4,4,4,4,4,328397.0,42596.0,8590.21,1315.64,23058.61,67.37,9564.11,5192.0,507.0,2101848.0,477374.0,94076.0,1005534.0,1903.0,522961.0,10320
5,10,2003,0,0,0,0,1,1,1,0,0,0,0,4,4,5,5,5,4,4,207607.0,25758.0,8811.65,628.7,8475.52,94.75999999999999,7747.27,1827.0,265.0,1077426.0,391756.0,38570.0,263934.0,4302.0,378864.0,27745
5,10,2003,0,0,0,0,1,1,1,0,0,1,0,4,4,5,5,5,4,4,344763.0,43636.0,9779.39,1014.4,22326.69,161.23,10354.33,3264.0,455.0,1982245.0,542328.0,75099.0,813958.0,7122.0,543738.0,10881
6,11,2003,0,0,0,0,0,0,0,1,1,0,0,4,4,4,4,4,5,5,195022.0,33038.0,10005.59,1516.74,10785.08,49.75,10680.89,2622.0,322.0,1450248.0,454700.0,105741.0,346137.0,1454.0,542216.0,26880
6,11,2003,0,0,0,0,0,0,0,1,1,1,0,4,4,4,4,4,5,5,333149.0,63139.0,11234.65,1864.31,35607.75,135.52,14296.58,4785.0,671.0,3133782.0,611486.0,143195.0,1575481.0,4342.0,799278.0,10710
7,12,2003,0,0,1,1,1,0,0,0,0,0,0,5,5,5,4,4,4,4,205523.0,42766.0,14158.56,1808.24,12833.66,130.11,13835.33,3614.0,341.0,1945336.0,644221.0,131379.0,447506.0,4405.0,717825.0,28303
7,12,2003,0,0,1,1,1,0,0,0,0,1,0,5,5,5,4,4,4,4,349972.0,77902.0,16856.39,2640.7,38173.46,339.87,19891.65,8018.0,477.0,3940643.0,887621.0,204356.0,1705772.0,11683.0,1131211.0,11129
8,1,2004,0,0,0,0,0,1,1,1,0,0,1,4,4,4,5,5,5,4,226687.0,47362.0,15489.04,3926.79,14387.72,116.61,13441.960000000001,6716.0,480.0,2302886.0,773999.0,267390.0,522074.0,3999.0,735424.0,31186
8,1,2004,0,0,0,0,0,1,1,1,0,1,1,4,4,4,5,5,5,4,357300.0,80874.0,16987.08,3980.75,39574.91,307.1,20024.36,10895.0,535.0,4206636.0,949186.0,270396.0,1788389.0,11365.0,1187300.0,11997
9,2,2004,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,4,4,5,214632.0,42473.0,13279.24,2931.8,12762.07,95.32000000000001,13404.67,3701.0,336.0,1902926.0,607382.0,169878.0,425749.0,2884.0,697033.0,28739
9,2,2004,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,5,339244.0,72044.0,13475.76,2916.6,37120.62,246.4,18284.79,5780.0,408.0,3485969.0,724077.0,194356.0,1570706.0,8411.0,988419.0,11194
10,3,2004,0,0,1,1,1,0,0,0,0,0,1,5,5,5,4,4,4,4,232670.0,39081.0,12587.15,1747.24,11472.39,62.33,13211.94,2786.0,357.0,1764614.0,567758.0,102544.0,373272.0,2059.0,718981.0,30597
10,3,2004,0,0,1,1,1,0,0,0,0,1,1,5,5,5,4,4,4,4,368742.0,64950.0,13172.85,1746.3,32468.73,217.42000000000002,17344.69,4817.0,522.0,3222344.0,720760.0,112157.0,1414059.0,6813.0,968555.0,12028
11,4,2004,0,0,0,0,0,1,1,0,0,0,1,4,4,4,5,5,4,4,224840.0,35205.0,11458.25,1450.06,10609.77,66.8,11620.27,1719.0,203.0,1498520.0,508488.0,82378.0,334438.0,2181.0,571035.0,29730
