"","Value","Std. Error","t value"
"(Intercept)",-0.849497022220568,0.0503667201929406,-16.8662366532184
"jan",-0.180097730890802,0.00993105733457932,-18.1347992286493
"feb",-0.542916698396019,0.0470437234884882,-11.5406829675987
"mar",-0.292445291423676,0.0099120835422919,-29.5039171306314
"apr",-0.550538956167622,0.019399858065026,-28.3785043334998
"may",-0.362888469410991,0.00993345389500311,-36.5319528581632
"jun",-0.16316557298188,0.0193454571710553,-8.43430948874179
"jul",-0.0622093120498253,0.00987453149283626,-6.29997606417648
"aug",-0.185447244679409,0.00987561787996038,-18.7782928555507
"sep",-0.711419091696783,0.019355618468086,-36.7551722963431
"oct",-0.505914692280236,0.00991496454004927,-51.025365772788
"nov",-0.633497232210325,0.0193887674373701,-32.6734143496567
"extra_mon",-0.123424110995056,0.0172871536618281,-7.13964331025702
"extra_tue",-0.112288495363098,0.0180798975064744,-6.21068207509958
"extra_wed",-0.107292647606705,0.0170300971827674,-6.3001782347592
"extra_thu",-0.149331954360326,0.018000785820031,-8.29585751718412
"extra_fri",-0.11070291457829,0.0170315554896401,-6.4998710567351
"extra_sat",-0.113552855209903,0.0180266434365006,-6.29916798487177
"extra_sun",-0.138408553275529,0.0172952946481235,-8.00267102073023
