"","Value","Std. Error","t value"
"(Intercept)",-0.758266431640036,0.251867096516091,-3.01058154133123
"feb",-0.604587827476108,0.234626546869787,-2.57680912727937
"mar",-0.0644165431943707,0.0502351313880865,-1.28230068110556
"apr",-0.349664982212495,0.097626620199629,-3.58165612511724
"may",-0.0816921873890088,0.0502259380895621,-1.62649400879953
"jun",-0.0119741870233543,0.0974978310837269,-0.122814906652348
"jul",0.153508755594466,0.0503268113911573,3.05023806100774
"aug",0.0112465848255841,0.0504931430519608,0.222734893211354
"sep",-0.593208763710982,0.0973685003041202,-6.09240937118429
"oct",-0.268411631102438,0.0503950405065922,-5.32615170866519
"nov",-0.500598716265791,0.0974656370141805,-5.13615599919547
"dec",0.195858224643496,0.0503071557295891,3.89324782534462
"extra_mon",-0.202889582183676,0.0864875824525003,-2.34588106674279
"extra_tue",-0.210050083977963,0.0904765296123,-2.32159748918362
"extra_wed",-0.204627212319495,0.0850422374104761,-2.40618331020402
"extra_thu",-0.211404253273198,0.0900661310568581,-2.34721144111031
"extra_fri",-0.212211002738113,0.0850570216658661,-2.49492632803148
"extra_sat",-0.204012227535048,0.0902864284264173,-2.25961122940328
"extra_sun",-0.211346817061289,0.0863263957902836,-2.44822936399109
